# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011-2026 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
00A0;0020;( ) ( );(NO-BREAK SPACE) (SPACE)
00A8;0020;(¨) ( );(DIAERESIS) (SPACE)
00AF;0020;(¯) ( );(MACRON) (SPACE)
00B4;0020;(´) ( );(ACUTE ACCENT) (SPACE)
00B8;0020;(¸) ( );(CEDILLA) (SPACE)
02D8;0020;(˘) ( );(BREVE) (SPACE)
02D9;0020;(˙) ( );(DOT ABOVE) (SPACE)
02DA;0020;(˚) ( );(RING ABOVE) (SPACE)
02DB;0020;(˛) ( );(OGONEK) (SPACE)
037A;0020;(ͺ) ( );(GREEK YPOGEGRAMMENI) (SPACE)
1680;0020;( ) ( );(OGHAM SPACE MARK) (SPACE)
1FBD;0020;(᾽) ( );(GREEK KORONIS) (SPACE)
1FBF;0020;(᾿) ( );(GREEK PSILI) (SPACE)
1FC0;0020;(῀) ( );(GREEK PERISPOMENI) (SPACE)
1FEE;0020;(΅) ( );(GREEK DIALYTIKA AND OXIA) (SPACE)
1FFE;0020;(῾) ( );(GREEK DASIA) (SPACE)
2000;0020;( ) ( );(EN QUAD) (SPACE)
2001;0020;( ) ( );(EM QUAD) (SPACE)
2002;0020;( ) ( );(EN SPACE) (SPACE)
2003;0020;( ) ( );(EM SPACE) (SPACE)
2004;0020;( ) ( );(THREE-PER-EM SPACE) (SPACE)
2005;0020;( ) ( );(FOUR-PER-EM SPACE) (SPACE)
2006;0020;( ) ( );(SIX-PER-EM SPACE) (SPACE)
2007;0020;( ) ( );(FIGURE SPACE) (SPACE)
2008;0020;( ) ( );(PUNCTUATION SPACE) (SPACE)
2009;0020;( ) ( );(THIN SPACE) (SPACE)
200A;0020;( ) ( );(HAIR SPACE) (SPACE)
2017;0020;(‗) ( );(DOUBLE LOW LINE) (SPACE)
2028;0020;( ) ( );(LINE SEPARATOR) (SPACE)
2029;0020;( ) ( );(PARAGRAPH SEPARATOR) (SPACE)
202F;0020;( ) ( );(NARROW NO-BREAK SPACE) (SPACE)
203E;0020;(‾) ( );(OVERLINE) (SPACE)
205F;0020;( ) ( );(MEDIUM MATHEMATICAL SPACE) (SPACE)
3000;0020;(　) ( );(IDEOGRAPHIC SPACE) (SPACE)
309B;0020;(゛) ( );(KATAKANA-HIRAGANA VOICED SOUND MARK) (SPACE)
309C;0020;(゜) ( );(KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK) (SPACE)
FC5E;0020;(ﱞ) ( );(ARABIC LIGATURE SHADDA WITH DAMMATAN ISOLATED FORM) (SPACE)
FC5F;0020;(ﱟ) ( );(ARABIC LIGATURE SHADDA WITH KASRATAN ISOLATED FORM) (SPACE)
FC60;0020;(ﱠ) ( );(ARABIC LIGATURE SHADDA WITH FATHA ISOLATED FORM) (SPACE)
FC61;0020;(ﱡ) ( );(ARABIC LIGATURE SHADDA WITH DAMMA ISOLATED FORM) (SPACE)
FC62;0020;(ﱢ) ( );(ARABIC LIGATURE SHADDA WITH KASRA ISOLATED FORM) (SPACE)
FC63;0020;(ﱣ) ( );(ARABIC LIGATURE SHADDA WITH SUPERSCRIPT ALEF ISOLATED FORM) (SPACE)
FE49;0020;(﹉) ( );(DASHED OVERLINE) (SPACE)
FE4A;0020;(﹊) ( );(CENTRELINE OVERLINE) (SPACE)
FE4B;0020;(﹋) ( );(WAVY OVERLINE) (SPACE)
FE4C;0020;(﹌) ( );(DOUBLE WAVY OVERLINE) (SPACE)
